CONDITION_CODE_ID,CODE_TEXT,DETAIL_CODE_TXT,ROW_STATUS_IND
d5555292-eaf8-2723-e053-0100007f945f,FAILED THERMOCOUPLE,,I
d5555292-eaf9-2723-e053-0100007f945f,OIL LEAK-PT MODULE,,I
d5555292-eafa-2723-e053-0100007f945f,Recap,,I
d5555292-eafb-2723-e053-0100007f945f,Conversion,,I
d5555292-eafc-2723-e053-0100007f945f,Obsolete,,A
d5555292-eafd-2723-e053-0100007f945f,Replaced due to Conversion,,I
d5555292-eafe-2723-e053-0100007f945f,Replaced due to Recap,,I
d5555292-eaff-2723-e053-0100007f945f,OIL LEAK - A-SUMP,,I
d5555292-eb00-2723-e053-0100007f945f,Leaking Fluid,,I
d5555292-eb01-2723-e053-0100007f945f,OIL LEAK - B-SUMP,,I
d5555292-eb02-2723-e053-0100007f945f,FUEL LEAK - AGB,,I
d5555292-eb03-2723-e053-0100007f945f,Leaking Air,,I
d5555292-eb04-2723-e053-0100007f945f,OIL LEAK - C-SUMP,,I
d5555292-eb05-2723-e053-0100007f945f,STAGE 1 COMPRESSOR EROSION,,I
d5555292-eb06-2723-e053-0100007f945f,OIL LEAK - AGB - AXIS G,,I
d5555292-eb07-2723-e053-0100007f945f,TIME CHANGE - SWIRL PLATE,,I
d5555292-eb08-2723-e053-0100007f945f,Broken Stud(s),,I
d5555292-eb09-2723-e053-0100007f945f,Wrong Part,,I
d5555292-eb0a-2723-e053-0100007f945f,OIL LEAK- #1 AND #2 BEARING,,I
d5555292-eb0b-2723-e053-0100007f945f,N2 Sensor Failure,,I
d5555292-eb0c-2723-e053-0100007f945f,OVER TORQUE,,I
d5555292-eb0d-2723-e053-0100007f945f,OIL COOLER LEAK,,I
d5555292-eb0e-2723-e053-0100007f945f,LOCKING CUP/NUT CORRODED,,I
d5555292-eb0f-2723-e053-0100007f945f,DEBRIS IN OIL,,I
d5555292-eb10-2723-e053-0100007f945f,Erosion,,I
d5555292-eb11-2723-e053-0100007f945f,TIME CHANGE - 2ND STAGE DISK,,I
d5555292-eb12-2723-e053-0100007f945f,TIME CHANGE - 1ST STAGE BLISK,,I
d5555292-eb13-2723-e053-0100007f945f,FOD - Foreign Object Damage,,I
d5555292-eb14-2723-e053-0100007f945f,TIME CHANGE - 3RD DISK,,I
d5555292-eb15-2723-e053-0100007f945f,TIME CHANGE - 4TH DISK,,I
d5555292-eb16-2723-e053-0100007f945f,DIAMETER G OUT OF LIMITS,,I
d5555292-eb17-2723-e053-0100007f945f,TIME CHANGE - PT SHAFT,,I
d5555292-eb18-2723-e053-0100007f945f,Oil Consumption Excessive,,I
d5555292-eb19-2723-e053-0100007f945f,HCF - NO 2 BLISK,,I
d5555292-eb1a-2723-e053-0100007f945f,TIME CHANGE - COMPRESSOR REAR SHAFT,,I
d5555292-eb1b-2723-e053-0100007f945f,TIME CHANGE - GG DRIVE SHAFT,,I
d5555292-eb1c-2723-e053-0100007f945f,TIME CHANGE - 5th Stage Blisk,,I
d5555292-eb1d-2723-e053-0100007f945f,TIME CHANGE - 5TH STAGE BLISK,,I
d5555292-eb1e-2723-e053-0100007f945f,TIME CHANGE - 2ND STAGE BLISK,,I
d5555292-eb1f-2723-e053-0100007f945f,TIME CHANGE - 3/4 STAGE BLISK,,I
d5555292-eb20-2723-e053-0100007f945f,Oil Pressure Incorrect,,I
d5555292-eb21-2723-e053-0100007f945f,Rubs,,I
d5555292-eb22-2723-e053-0100007f945f,Corrosion,,I
d5555292-eb23-2723-e053-0100007f945f,WEAR,,I
d5555292-eb24-2723-e053-0100007f945f,Pitting,,I
d5555292-eb25-2723-e053-0100007f945f,OUTPUT SHAFT SEAL LEAKING,,I
d5555292-eb26-2723-e053-0100007f945f,ACCESSORY CLUTCH RETIREMENT,,I
